Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
BR;Campinas;Campinas-Taquaral;-22.87461894, -47.05897276;NO2;Sao Paulo CETESB;µg/m³;6;2023-04-05T12:00:00-03:00;Brazil
BR;Jacareí;Jacareí;-23.29419924, -45.96823386;NO2;Sao Paulo CETESB;µg/m³;8;2023-04-05T12:00:00-03:00;Brazil
BR;Osasco;Osasco;-23.52672142, -46.79207766;PM2.5;Sao Paulo CETESB;µg/m³;32;2023-04-05T12:00:00-03:00;Brazil
BR;Rio Claro-Jd.Guanabara;Rio Claro-Jd.Guanabara;-22.43904378887939, -47.58147331085557;PM2.5;Sao Paulo CETESB;µg/m³;28;2023-04-05T12:00:00-03:00;Brazil
BR;Mauá;Mauá;-23.668549, -46.46600027;PM10;Sao Paulo CETESB;µg/m³;48;2023-04-05T12:00:00-03:00;Brazil
BR;Mauá;Mauá;-23.668549, -46.46600027;O3;Sao Paulo CETESB;µg/m³;68;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;N.Senhora do Ó;-23.48009871, -46.69205192;O3;Sao Paulo CETESB;µg/m³;91;2023-04-05T12:00:00-03:00;Brazil
BR;;Perus;-23.413209739894405, -46.756053990921224;PM10;Sao Paulo CETESB;µg/m³;22;2023-02-15T21:00:00-03:00;Brazil
BR;Cerqueira César;Cerqueira César;-23.55354256, -46.67270477;CO;Sao Paulo CETESB;ppm;0.6;2023-04-05T12:00:00-03:00;Brazil
BR;São José dos Campos;S.José Campos-Jd.Satelite;-23.22364548, -45.8908;PM2.5;Sao Paulo CETESB;µg/m³;13;2023-03-31T12:00:00-03:00;Brazil
BR;São Paulo;Santo Amaro;-23.65497723, -46.70999838;O3;Sao Paulo CETESB;µg/m³;104;2023-04-05T12:00:00-03:00;Brazil
BR;São José do Rio Preto;São José do Rio Preto;-20.78468928, -49.39827779;PM10;Sao Paulo CETESB;µg/m³;38;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Itaim Paulista;-23.50154736, -46.42073684;O3;Sao Paulo CETESB;µg/m³;83;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;PM2.5;Sao Paulo CETESB;µg/m³;0;2023-02-15T21:00:00-03:00;Brazil
BR;Presidente Prudente;Presidente Prudente;-22.11993673, -51.40877707;O3;Sao Paulo CETESB;µg/m³;76;2023-04-05T12:00:00-03:00;Brazil
BR;Santo André;S.André-Capuava;-23.6398037, -46.49163676999999;SO2;Sao Paulo CETESB;µg/m³;2;2023-04-05T12:00:00-03:00;Brazil
BR;São Bernardo do Campo;S.Bernardo-Centro;-23.69867109, -46.54623219;PM2.5;Sao Paulo CETESB;µg/m³;13;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Santana;-23.50599272, -46.6289603;PM2.5;Sao Paulo CETESB;µg/m³;28;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Santo Amaro;-23.65497723, -46.70999838;PM10;Sao Paulo CETESB;µg/m³;0;2023-01-25T06:00:00-03:00;Brazil
BR;São Paulo;Santo Amaro;-23.65497723, -46.70999838;CO;Sao Paulo CETESB;ppm;0.4;2023-04-05T12:00:00-03:00;Brazil
BR;Mauá;Mauá;-23.668549, -46.46600027;PM2.5;Sao Paulo CETESB;µg/m³;13;2023-04-05T12:00:00-03:00;Brazil
BR;Cerqueira César;Cerqueira César;-23.55354256, -46.67270477;NO2;Sao Paulo CETESB;µg/m³;57;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Parque D.Pedro II;-23.54484566, -46.62767559;PM10;Sao Paulo CETESB;µg/m³;29;2023-04-05T12:00:00-03:00;Brazil
BR;Santa Gertrudes;Santa Gertrudes;-22.45995527, -47.53629834;NO2;Sao Paulo CETESB;µg/m³;28;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Congonhas;-23.61632008, -46.66346553;PM2.5;Sao Paulo CETESB;µg/m³;21;2023-04-05T12:00:00-03:00;Brazil
BR;Presidente Prudente;Presidente Prudente;-22.11993673, -51.40877707;NO2;Sao Paulo CETESB;µg/m³;4;2023-04-05T12:00:00-03:00;Brazil
BR;;S.Bernardo-Paulicéia;-23.67135396, -46.58466789;PM10;Sao Paulo CETESB;µg/m³;15;2023-04-05T12:00:00-03:00;Brazil
BR;Sorocaba;Sorocaba;-23.50242658, -47.47902991;PM10;Sao Paulo CETESB;µg/m³;7;2023-04-05T12:00:00-03:00;Brazil
BR;Sorocaba;Sorocaba;-23.50242658, -47.47902991;O3;Sao Paulo CETESB;µg/m³;58;2023-04-05T12:00:00-03:00;Brazil
BR;São José do Rio Preto;São José do Rio Preto;-20.78468928, -49.39827779;O3;Sao Paulo CETESB;µg/m³;73;2023-04-05T12:00:00-03:00;Brazil
BR;Rio Claro-Jd.Guanabara;Rio Claro-Jd.Guanabara;-22.43904378887939, -47.58147331085557;O3;Sao Paulo CETESB;µg/m³;98;2023-04-05T12:00:00-03:00;Brazil
BR;Diadema;Diadema;-23.68587641, -46.61162193;PM10;Sao Paulo CETESB;µg/m³;17;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Ibirapuera;-23.59184199, -46.6606875;NO2;Sao Paulo CETESB;µg/m³;55;2023-02-15T21:00:00-03:00;Brazil
BR;Catanduva;Catanduva;-21.14194276, -48.98307527;O3;Sao Paulo CETESB;µg/m³;56;2023-04-05T10:00:00-03:00;Brazil
BR;Cerqueira César;Cerqueira César;-23.55354256, -46.67270477;PM10;Sao Paulo CETESB;µg/m³;30;2023-04-05T12:00:00-03:00;Brazil
BR;;Cubatão-Vale do Mogi;-23.83158901, -46.36956879;PM10;Sao Paulo CETESB;µg/m³;38;2023-04-05T12:00:00-03:00;Brazil
BR;Tatuí;Tatuí;-23.36075154, -47.87079907;O3;Sao Paulo CETESB;µg/m³;68;2023-04-05T12:00:00-03:00;Brazil
BR;Presidente Prudente;Presidente Prudente;-22.11993673, -51.40877707;PM10;Sao Paulo CETESB;µg/m³;22;2023-04-05T12:00:00-03:00;Brazil
BR;Santos;Santos-Ponta da Praia;-23.98129516, -46.30050959;SO2;Sao Paulo CETESB;µg/m³;1;2023-04-05T12:00:00-03:00;Brazil
